open,high,low,close,volume
20338.28,20411.8,20284.39,20358.96,13205.60191
20359.59,20419.0,20341.85,20389.55,10460.05601
20390.15,20857.62,20373.13,20785.52,33546.82
20786.52,21331.75,20692.01,21076.45,48753.29199
21075.05,21224.99,20735.19,20779.54,32229.52187
20779.54,21361.57,20755.76,21259.02,31000.59806
21257.96,21291.21,21136.15,21272.4,16773.4793
21272.82,21903.0,21100.69,21702.38,46708.55635
21703.97,22150.0,21602.0,21997.11,34615.81402
21998.05,22600.0,21860.74,22446.02,46825.16252
22448.97,22478.4,22250.37,22294.1,26022.42752
22295.4,22356.8,22066.4,22182.01,23006.54739
22182.65,22282.4,22114.39,22231.62,15593.27984
22232.76,22459.62,22222.88,22320.07,18986.76942
22320.07,22402.29,22285.3,22397.11,13248.24338
22397.11,22506.0,22245.0,22381.9,16172.56821
22381.11,22495.0,22319.06,22458.72,19762.91694
22458.87,22539.64,22170.75,22191.1,27297.2351
22191.11,22262.35,21813.88,21963.37,35114.65542
21961.74,22177.0,21816.67,22124.51,27471.76369
22125.45,22220.0,22017.0,22106.64,22324.39622
22106.63,22156.17,21959.0,22130.32,27567.30305
22130.32,22590.0,22127.87,22479.64,51898.78387
22479.64,23560.16,22400.0,23484.63,67545.04056
23484.64,24500.0,23461.55,23981.72,69508.65206
23981.72,24203.92,23755.0,23955.16,41803.54493
23954.14,24174.95,23821.42,24109.1,27711.01104
24109.7,24304.56,23978.74,24256.15,26783.56138
24257.37,24393.83,24105.0,24279.91,26149.44757
24277.25,24311.99,24054.0,24134.11,17599.04514
24135.78,24215.0,24040.28,24085.04,10689.40908
24083.58,24232.29,24082.09,24201.15,13002.40372
24202.45,24214.18,23938.0,24113.48,15805.14454
24112.27,24249.8,23986.02,24166.31,20419.04669
24165.37,24441.48,24112.01,24402.53,22294.32279
24403.42,24496.41,24251.01,24274.69,16540.9667
24275.95,24409.9,24220.7,24374.2,10986.8114
24375.68,24432.1,24322.46,24414.06,10786.16648
24414.9,24820.0,24188.4,24317.8,32242.51073
24317.8,24437.31,24284.42,24325.38,16159.04127
24325.38,24403.6,24139.06,24247.64,19781.12665
